Genotype,low,medium,high,obs_low,obs_medium,obs_high
R2_S2,-0.05781428573811387,-0.26315004545431664,0.016819995400316978,-0.4129806926970038,-0.3556503899943761,-0.2290398647958333
R2_S3,-0.2391606099124367,-0.387560545664847,-0.38993704451024946,-0.3893984122520098,-0.4089959282472455,-0.4206779622986034
R2_S4,-0.017490741450973513,-0.21872792970189958,-0.18650713181023115,-0.1625871501577996,-0.1672865963708744,-0.2535694034375464
R2_S5,-0.13293897319753134,-0.23560826656674094,-0.16930287851098053,-0.6004299966046658,-0.4968297382921234,-0.4207708114507043
R2_S6,-0.11733794227110295,-0.28269812344466083,-0.2797651313768051,-0.6122702887635584,-0.5128919626480812,-0.4837461366883191
R2_S7,-0.07674605953544233,-0.19262308595880973,-0.2911165428322934,-0.0849328722780089,-0.0486835408551178,-0.0405526230700863
R2_S8,-0.06243337756239098,-0.2849297568916176,-0.21819667176921498,-0.3538383806279551,-0.2233480865672112,-0.2405030048531406
R2_S9,-0.16767774583729017,-0.2812822933899892,-0.39484999967593215,-0.6018601609485311,-0.6916537988680432,-0.3929698271286171
R3_O1,-0.13195782058383476,-0.09819966638486455,0.11945783657448006,-0.2326711914759807,-0.0378458756745471,-0.0412748720286539
R3_O10,0.1233991395856231,-0.05837098440473332,0.0573109282467783,0.221286006927132,0.1626959489069797,0.1007223741542495
R3_O2,0.0379515594003792,-0.14908684432774644,0.009253870798981767,0.1548177660878095,0.036536955700728,-0.0990660368203393
R3_O3,-0.07313812560518285,-0.11667498676509935,0.0699920335656119,0.0515583004713707,0.0646885570005032,-0.0231996197179393
R3_O4,-0.12205991036813746,-0.1885643897324185,-0.04080110371208323,-0.138216930530511,-0.1574622259072536,-0.1823760645868369
R3_O5,-0.05031993964856185,-0.09335449134272866,0.04820472323378788,0.0826883638001061,0.1187676525995519,-0.0008003381099482
R3_O6,-0.05064438369931512,-0.1845588964645657,-0.0025805738322277616,-0.0119529099813934,-0.0084954532116274,-0.2448692350455969
R3_O7,-0.01503642662545368,-0.12005216248346184,0.022753171165148522,0.0360533400541382,0.0598364389656174,-0.0491517025316267
R3_O8,0.03984042846303315,-0.07974784296581183,0.045004009252827215,0.1637912121238687,0.0547456083955079,0.0409156493856968
R3_O9,-0.06065459367401793,-0.13869100839173232,0.0513689321790427,0.0668908985797514,0.0533519911487656,0.0567739544519473
R3_S1,-0.19783312863914154,-0.4147625775238196,-0.0472053177992689,-0.148697970752942,0.06830088535962,-0.1567698846634476
R3_S10,-0.1898952184327666,-0.42810032295822326,-0.3063478412217896,-0.2971996260691923,-0.300817809939554,-0.2002241236611812
R3_S2,0.06409339413981874,-0.3881358303032621,0.16813292000887847,-0.0515416647875045,-0.1367375877717834,-0.0791851541013403
R3_S3,-0.3325836797824463,-0.5575560874067794,-0.45988600427653603,-0.5482905238863321,-0.6505226935088855,-0.3237815749147542
R3_S4,-0.10476468253980786,-0.37465222777544216,-0.09277173993122989,-0.0652383214400948,0.0702753227821545,-0.0499306163220528
R3_S5,-0.009219101513717853,-0.40431461027972077,-0.12126198159433904,-0.207205774231058,-0.0088481084765082,-0.1209680538045854
R3_S6,-0.20932296287735064,-0.4448160445654116,-0.23169027807805032,-0.0277778595221161,-0.0306636043480625,-0.2450481520970871
R3_S7,0.06515796589727085,-0.35001151646900414,-0.255526762550208,-0.0161384226245696,0.0063523159896606,0.0754620547216092
R3_S8,-0.14507074508358336,-0.4356077991383592,-0.1657007946862607,-0.2411319091652035,-0.1106686651387307,-0.1447751983678254
R3_S9,-0.04664146673145564,-0.44211811010970176,-0.34643207529184605,-0.1562102754863302,-0.2377022249620655,-0.1996449062559862
R4_O1,-0.18892896255562053,-0.09167461510384145,0.0010978394326326413,-0.6883073954509349,-0.3373709638349276,-0.1660264183184212
R4_O10,0.012873218281069354,-0.10753784469487582,-0.0877804239794977,0.1087886388582799,0.0044051286513593,-0.0019643304476079
R4_O2,-0.12253013815559943,-0.2629467567048702,-0.11483963110977058,-0.0482000137454152,-0.0736498794879885,-0.1336697966466868
R4_O3,-0.11250647161237448,-0.09560394484916834,-0.0740405510452411,-0.3005383364209945,-0.2322755174787386,-0.230832743643911
R4_O4,-0.1656374268831926,-0.1272263472456745,-0.17435279061316966,-0.3483364901413468,-0.308504862550961,-0.3251440909426804
R4_O5,-0.14289877466575174,-0.13732309602080228,-0.08884523576882208,-0.1796222740979253,-0.1109495241980355,-0.0990770681413106
R4_O6,-0.09568358474861127,-0.10910743314939442,-0.13394351138688276,-0.1134746769066027,-0.0581897541551013,-0.3785969804576172
R4_O7,-0.07955577667723279,-0.12961856318374254,-0.11477097383839374,-0.1749262491435701,-0.0580367361502729,-0.1339593042609806
R4_O8,-0.029008533097196754,-0.08090483292451367,-0.08340178284073918,0.047222773696092,-0.0655496612837722,-0.0379714992819419
R4_O9,-0.1252196395852463,-0.08308580838977608,-0.06818353670737087,-0.2699690683776651,-0.2103707052085596,-0.1266780827552799
