Genotype,low,medium,high,obs_low,obs_medium,obs_high
R8_S7,-0.0725224958859258,-0.13228951033002623,-0.06855728957192264,0.2796745086458088,0.2427253526450885,0.3169496467024221
R7_O2,-0.1832488311568523,-0.34041956232028436,-0.1709816940444946,-0.0988943879160622,-0.1317882476227118,-0.1810566557659975
R6_O9,-0.14521278278523386,-0.0978453016715779,-0.06647549862809043,-0.2606589850845132,-0.2070835455421515,-0.1984173388555699
R8_O4,-0.031808280835201375,-0.027539543725003668,0.010887001751639147,-0.0556658811987426,-0.1242777181419851,-0.1143214705596643
R2_S4,-0.017490741450973513,-0.21872792970189958,-0.18650713181023115,-0.1625871501577996,-0.1672865963708744,-0.2535694034375464
S10_O10,0.02791969790713522,-0.14323821150089922,-0.16744959572882223,0.0012982708660415,-0.0026329956943406,0.0031600792426963
R6_S9,-0.19666738767961833,-0.2311240893676092,-0.40664498875816874,0.0343963573304616,-0.0002356346538743,-0.0555868131179263
S2_O3,-0.006047955243128733,-0.10195980169107277,0.2946016362586338,-0.2858358279683625,-0.0182127724558007,0.0038001774980158
S10_O7,-0.04079856258660053,-0.14084505955350024,-0.09229685580558145,-0.1101589401454705,-0.0453229852015021,-0.1166292848610475
R1_S1,-0.03103080250041118,-0.5142718215183463,-0.1457542207613368,0.0084967516378811,0.0546566907101526,-0.018665441639281
R9_S2,-0.0864492637349169,-0.4946889694103538,0.08109474527469593,-0.3158740900490957,-0.2693861579009431,-0.1128279929405942
R4_S1,-0.11803457009314045,-0.25104940449835833,-0.13267661248951074,-0.0864213155941565,0.0315638250272991,0.0503542706171274
S10_O5,-0.05748745654449672,-0.16542094428169385,0.01677761431418312,-0.3432065931397177,-0.1526768957696175,0.1922489348748211
R4_S7,-0.0639445227673654,-0.14694471070790538,-0.2309199161909795,-0.2938610257695127,-0.2532542049907229,-0.1327493381716615
R5_S10,-0.30187674663781927,-0.6248553783501647,-0.5146955543997112,-0.5871398519257811,-0.622172055066194,-0.3227423346781533
R4_S6,-0.11137357952509053,-0.25113810355937916,-0.2341822590017183,-0.3732477436918234,-0.1929695284584667,-0.2886266717652914
S1_O7,-0.09092192312102787,-0.1777990533258058,0.02989695187181929,-0.0543758729260304,-0.0142451916828553,-0.1022700010080226
R1_O7,0.041249743497539626,-0.09883153769191222,0.018161834233548335,0.0425579181936733,0.0961674099868131,-0.0982579956326039
R6_S2,-0.10876205293502994,-0.22620936626358157,-0.011031847555300234,-0.3735508559338776,-0.3453257721049134,-0.3017295549944682
R6_S3,-0.2716754198852751,-0.34123928360982836,-0.4131808654646617,-0.7429193327764746,-0.7490318298239109,-0.6171334732907857
S1_O10,0.01998998282675446,-0.13523813352391567,0.0462917997081409,0.141258731749974,0.1210392572986813,-0.0297155955894441
R2_S5,-0.13293897319753134,-0.23560826656674094,-0.16930287851098053,-0.6004299966046658,-0.4968297382921234,-0.4207708114507043
R9_O5,-0.1245815591313928,-0.10505427201883566,0.0017055074447465124,-0.2046781195524823,-0.1750701578732519,-0.1724356327054247
R1_S3,-0.1708453864598645,-0.6591575166124741,-0.580620954230903,-0.4103831369911904,-0.5652447701307343,-0.1935914059666684
S7_O10,0.06032830819345669,-0.09848519367029107,-0.16213719079033884,0.2848132727266418,0.2615217108695352,0.1773327596539629
R1_S2,0.003468613732404563,-0.47515540067984197,0.09052771207956545,0.1012256533810533,-0.0427024442072935,-0.2668699328470317
R2_O1,-0.21933878103254112,-0.15527060132947468,-0.02533065426448755,-0.4100981908892691,-0.207491101931681,-0.2851722491171267
R2_O4,-0.20966469749292704,-0.21647384196781072,-0.18421065199244224,-0.2938675357753359,-0.3208418283552053,-0.3331126657846643
R9_O8,0.0006529682793758873,-0.0698593505722016,0.008431156091553316,-0.134034679010621,-0.1134766000003502,-0.0664854082314931
