0.00000	29126
0.00001	28002
0.00002	27748
0.00005	28410
0.00010	19790
0.00020	14348
0.00039	5981
0.00078	3738
0.00156	2194
0.00313	2218
0.00625	1932
0.01250	2072
0.02500	1494
0.05000	2009
0.10000	1126
0.20000	1528
0.00000	25281
0.00001	25835
0.00002	23186
0.00005	22847
0.00010	18339
0.00020	11358
0.00039	5543
0.00078	2615
0.00156	2152
0.00313	1939
0.00625	1465
0.01250	1470
0.02500	1238
0.05000	1455
0.10000	1183
0.20000	1040
0.00000	27194
0.00001	22933
0.00002	23236
0.00005	21164
0.00010	18142
0.00020	11873
0.00039	5711
0.00078	3151
0.00156	2137
0.00313	1686
0.00625	1491
0.01250	1520
0.02500	1601
0.05000	1227
0.10000	1219
0.20000	1268
