0.00000	932
0.00001	1110
0.00002	1708
0.00005	1798
0.00010	3708
0.00020	4626
0.00039	7363
0.00078	10044
0.00156	13517
0.00313	15415
0.00625	17761
0.01250	16696
0.02500	20179
0.05000	16375
0.10000	18875
0.20000	20627
0.00000	807
0.00001	686
0.00002	1316
0.00005	1134
0.00010	2123
0.00020	3736
0.00039	7191
0.00078	9962
0.00156	13327
0.00313	12776
0.00625	15787
0.01250	17674
0.02500	15673
0.05000	17669
0.10000	17662
0.20000	17442
0.00000	902
0.00001	921
0.00002	1124
0.00005	1253
0.00010	2820
0.00020	3702
0.00039	6698
0.00078	8939
0.00156	10706
0.00313	11384
0.00625	14528
0.01250	13984
0.02500	14575
0.05000	14846
0.10000	15979
0.20000	17782
