0.00000	9237
0.00001	8684
0.00002	9679
0.00005	7817
0.00010	8036
0.00020	6649
0.00039	3876
0.00078	4335
0.00156	5872
0.00313	3452
0.00625	5219
0.01250	4614
0.02500	4674
0.05000	5071
0.10000	4453
0.20000	4421
0.00000	9216
0.00001	9677
0.00002	9243
0.00005	8842
0.00010	8368
0.00020	6949
0.00039	5591
0.00078	6134
0.00156	5607
0.00313	5265
0.00625	5344
0.01250	5113
0.02500	5770
0.05000	4044
0.10000	5241
0.20000	5216
0.00000	6359
0.00001	7295
0.00002	6562
0.00005	8208
0.00010	5705
0.00020	6089
0.00039	4500
0.00078	4362
0.00156	3088
0.00313	3806
0.00625	3877
0.01250	4192
0.02500	3027
0.05000	4018
0.10000	2646
0.20000	3178
