0.00000	276
0.00001	837
0.00002	229
0.00005	866
0.00010	1052
0.00020	1699
0.00039	2849
0.00078	3611
0.00156	4611
0.00313	5969
0.00625	5536
0.01250	6583
0.02500	6243
0.05000	6759
0.10000	8076
0.20000	9378
0.00000	841
0.00001	707
0.00002	859
0.00005	773
0.00010	1141
0.00020	1882
0.00039	2556
0.00078	3609
0.00156	4365
0.00313	4907
0.00625	5028
0.01250	5189
0.02500	6017
0.05000	6373
0.10000	6992
0.20000	7848
0.00000	850
0.00001	471
0.00002	865
0.00005	1121
0.00010	1240
0.00020	1655
0.00039	2487
0.00078	3476
0.00156	4283
0.00313	4706
0.00625	5134
0.01250	5334
0.02500	5771
0.05000	5924
0.10000	6445
0.20000	7395
