0.00000	31704
0.00001	28974
0.00002	27516
0.00005	24131
0.00010	14973
0.00020	9875
0.00039	5511
0.00078	5134
0.00156	3168
0.00313	3152
0.00625	2546
0.01250	2953
0.02500	2110
0.05000	2945
0.10000	2035
0.20000	2311
0.00000	26252
0.00001	24516
0.00002	23132
0.00005	19309
0.00010	13873
0.00020	7091
0.00039	5045
0.00078	3843
0.00156	2688
0.00313	2319
0.00625	2609
0.01250	2048
0.02500	2352
0.05000	2140
0.10000	2031
0.20000	1827
0.00000	27607
0.00001	24203
0.00002	24684
0.00005	19616
0.00010	14792
0.00020	7420
0.00039	5267
0.00078	3914
0.00156	2968
0.00313	2451
0.00625	2202
0.01250	2249
0.02500	1955
0.05000	1923
0.10000	2172
0.20000	1932
