3913	338	3377	298	5476	495	3031	425	3190	128	4075	519	3358	494	3530	419	3718	357	3739	392	1443	65	3857	251	2582	137	3745	495	3425	94	4302	108	4166	306	3772	433	3938	502	2097	237	3761	518	7113	950	2169	199	3313	621	3235	367	2480	458	5163	452	4549	242	4908	323	1944	90
3527	114	3529	440	5245	189	3251	86	3769	293	4691	696	3724	731	4029	278	3694	998	3831	138	1602	274	4066	568	2752	308	4018	855	3802	688	4211	542	4836	300	4609	538	3824	103	2170	347	3904	213	7764	212	2324	141	3500	129	3181	184	3111	77	5343	575	5017	343	4413	307	2291	217
3932	199	4186	378	4843	453	3495	183	3417	731	3877	770	3788	216	3900	358	3889	90	4149	611	1911	259	4008	399	2638	244	3877	489	4087	287	4733	775	4483	693	4585	718	4466	560	2319	209	3708	410	6974	314	2585	153	3749	727	3499	118	3012	588	5516	201	5402	352	5702	344	2425	250
4855	289	4694	83	5298	925	4106	477	4111	499	4051	603	4005	504	4459	404	3924	1043	4394	530	2094	57	4511	52	3522	549	4891	389	5074	730	5481	624	5015	592	5430	645	5850	871	2883	413	4266	98	8017	550	2720	101	4830	482	4353	322	3516	396	5745	501	6020	408	6347	669	2684	76
5764	770	5216	336	6092	605	4402	391	4898	571	5467	804	4346	570	4843	189	4856	453	4385	972	3231	99	6405	295	4702	216	5267	538	6982	480	6275	301	6480	357	5510	506	6819	1244	2807	170	5007	452	9335	641	3015	448	4615	516	4600	494	3993	523	6605	562	6608	416	6637	356	2831	326
5556	842	4742	813	7850	608	4920	374	5317	384	6015	581	4924	182	5893	874	6056	776	5562	536	4762	697	6453	757	4672	638	5888	537	7480	492	5992	217	6976	757	5676	641	7030	860	2972	448	4681	525	9770	1296	2993	289	4883	268	4959	395	3936	255	7187	576	7055	305	7004	419	3087	73
4148	384	3077	236	6731	636	4196	652	4475	867	5286	1197	5157	698	5006	1019	5640	1294	5718	1244	3903	606	4975	989	3822	540	4551	722	6114	1323	5598	1058	5425	775	4119	581	5641	530	2554	177	3526	164	8741	715	2610	129	3781	320	4828	174	3491	301	6614	571	6783	400	6074	467	3332	385
3385	176	2706	491	6984	279	3723	132	3829	313	4909	380	5291	395	4910	643	5681	1080	5608	1226	3562	344	4158	457	2975	484	4027	594	5188	906	4760	430	5135	666	3687	308	4851	672	2213	313	3085	295	8089	548	2254	234	2918	439	3428	485	2846	180	5524	989	5272	283	5074	371	2612	274
3426	513	2273	166	7429	1046	3236	216	3492	241	4442	807	4920	763	4526	835	5093	665	5058	735	3465	374	4028	108	3218	413	3849	131	4529	427	4178	396	4363	452	2844	236	4207	116	1947	351	2498	247	6717	186	2083	162	2396	283	2350	121	2048	412	4312	149	4453	326	3933	327	2199	116
3066	295	1879	477	6456	140	3004	283	3395	252	4349	199	5058	905	3825	180	5116	717	4541	546	2981	276	3363	275	2630	146	3382	412	3924	148	3930	187	3838	234	2536	180	3678	187	1470	62	2236	648	6997	577	1610	169	2123	133	2171	75	1881	157	4142	198	3822	190	3551	107	1805	78
2548	226	1712	416	5596	447	2797	103	2728	528	3873	634	3744	404	3444	909	4526	460	4565	676	2504	107	3384	167	2384	415	2644	940	3834	456	3867	316	3361	399	2229	215	3607	137	1772	109	2048	309	6726	682	1543	297	2109	139	2176	244	1922	174	3490	167	3458	714	3185	145	2004	304
2547	285	1715	368	5928	508	2710	69	3073	41	3837	117	4433	525	3208	807	4431	910	5002	230	2110	111	3287	386	2389	178	2669	535	3593	364	3336	184	3182	414	2080	57	3280	693	1765	219	1889	141	5985	161	1378	144	1695	41	1975	504	1675	128	3568	349	3631	211	2880	384	2031	269
2513	313	1539	229	6029	1303	2553	30	3098	206	3839	540	3871	272	3662	821	4302	751	4423	833	2405	335	3192	298	2323	139	2580	295	3473	446	3642	225	3637	346	2197	95	2968	155	1210	179	1822	96	5461	189	1544	66	1662	292	1660	119	1673	295	3266	494	3689	86	2793	131	1797	181
2385	196	1382	300	6095	863	2843	109	2883	119	3664	370	4506	643	3602	378	4451	950	4136	257	2375	223	3097	372	2183	101	2743	331	3347	531	3112	568	2974	333	2002	300	3017	135	1402	178	1650	94	5695	307	1298	166	1607	68	1799	158	1502	311	3237	628	3732	119	2830	329	1584	329
2344	84	1334	260	5370	266	2596	366	2509	460	3786	812	3767	850	3393	130	4229	226	4516	467	2284	281	3175	149	1965	370	2761	291	3212	96	3738	520	3008	221	2030	358	2785	494	1355	151	1838	100	6132	265	1065	115	1680	304	1571	284	1594	162	3530	109	3541	580	2764	222	1842	159
2200	477	1155	291	6081	981	2496	8	2671	401	3477	225	3796	673	3017	75	4751	56	4162	719	2099	53	2981	326	1987	151	2704	286	3167	280	3228	258	2820	134	1835	425	2537	538	1215	73	1367	169	5939	490	1137	183	1770	169	1599	305	1579	278	3320	318	3315	129	2527	314	1742	302
